FF times,LED times
"(0.0166838636205577, 0.0)","(0.0166838636205577, 1.0)"
"(0.0333677272411155, 0.0)","(0.0333677272411155, 1.0)"
"(0.0500515908616732, 0.0)","(0.0500515908616732, 1.0)"
"(0.066735454482231, 0.0)","(0.066735454482231, 1.0)"
"(0.0834193181027888, 0.0)","(0.0834193181027888, 1.0)"
"(0.1001031817233465, 0.0)","(0.1001031817233465, 1.0)"
"(0.1167870453439043, 0.0)","(0.1167870453439043, 1.0)"
"(0.133470908964462, 0.0)","(0.133470908964462, 1.0)"
"(0.1501547725850198, 0.0)","(0.1501547725850198, 1.0)"
"(0.1668386362055776, 1.0)","(0.1668386362055776, 1.0)"
"(0.1835224998261353, 0.0)","(0.1835224998261353, 1.0)"
"(0.2002063634466931, 0.0)","(0.2002063634466931, 1.0)"
"(0.2168902270672508, 0.0)","(0.2168902270672508, 1.0)"
"(0.2335740906878086, 0.0)","(0.2335740906878086, 1.0)"
"(0.2502579543083664, 0.0)","(0.2502579543083664, 1.0)"
"(0.2669418179289241, 0.0)","(0.2669418179289241, 1.0)"
"(0.2836256815494818, 0.0)","(0.2836256815494818, 1.0)"
"(0.3003095451700396, 0.0)","(0.3003095451700396, 1.0)"
"(0.3169934087905974, 0.0)","(0.3169934087905974, 1.0)"
"(0.3336772724111552, 0.0)","(0.3336772724111552, 1.0)"
"(0.3503611360317129, 0.0)","(0.3503611360317129, 1.0)"
"(0.3670449996522706, 0.0)","(0.3670449996522706, 1.0)"
"(0.3837288632728284, 0.0)","(0.3837288632728284, 1.0)"
"(0.4004127268933862, 0.0)","(0.4004127268933862, 1.0)"
"(0.4170965905139439, 0.0)","(0.4170965905139439, 1.0)"
"(0.4337804541345017, 0.0)","(0.4337804541345017, 1.0)"
"(0.4504643177550594, 0.0)","(0.4504643177550594, 1.0)"
"(0.4671481813756172, 0.0)","(0.4671481813756172, 1.0)"
"(0.483832044996175, 0.0)","(0.483832044996175, 1.0)"
"(0.5005159086167328, 0.0)","(0.5005159086167328, 1.0)"
"(0.5171997722372905, 0.0)","(0.5171997722372905, 1.0)"
"(0.5338836358578483, 0.0)","(0.5338836358578483, 1.0)"
"(0.550567499478406, 0.0)","(0.550567499478406, 1.0)"
"(0.5672513630989637, 0.0)","(0.5672513630989637, 1.0)"
"(0.5839352267195216, 0.0)","(0.5839352267195216, 1.0)"
"(0.6006190903400793, 0.0)","(0.6006190903400793, 1.0)"
"(0.6173029539606371, 0.0)","(0.6173029539606371, 1.0)"
"(0.6339868175811948, 0.0)","(0.6339868175811948, 1.0)"
"(0.6506706812017525, 0.0)","(0.6506706812017525, 1.0)"
"(0.6673545448223104, 0.0)","(0.6673545448223104, 1.0)"
"(0.6840384084428681, 0.0)","(0.6840384084428681, 1.0)"
"(0.7007222720634259, 0.0)","(0.7007222720634259, 1.0)"
"(0.7174061356839836, 0.0)","(0.7174061356839836, 1.0)"
"(0.7340899993045413, 0.0)","(0.7340899993045413, 1.0)"
"(0.7507738629250992, 0.0)","(0.7507738629250992, 1.0)"
"(0.7674577265456569, 0.0)","(0.7674577265456569, 1.0)"
"(0.7841415901662147, 0.0)","(0.7841415901662147, 1.0)"
"(0.8008254537867724, 0.0)","(0.8008254537867724, 1.0)"
"(0.8175093174073301, 0.0)","(0.8175093174073301, 1.0)"
"(0.8341931810278879, 0.0)","(0.8341931810278879, 1.0)"
"(0.8508770446484457, 0.0)","(0.8508770446484457, 1.0)"
"(0.8675609082690035, 0.0)","(0.8675609082690035, 1.0)"
"(0.8842447718895612, 0.0)","(0.8842447718895612, 1.0)"
"(0.9009286355101188, 0.0)","(0.9009286355101188, 1.0)"
"(0.9176124991306768, 0.0)","(0.9176124991306768, 1.0)"
"(0.9342963627512344, 0.0)","(0.9342963627512344, 1.0)"
"(0.9509802263717922, 0.0)","(0.9509802263717922, 1.0)"
"(0.96766408999235, 0.0)","(0.96766408999235, 1.0)"
"(0.9843479536129076, 0.0)","(0.9843479536129076, 1.0)"
"(1.0010318172334656, 0.0)","(1.0010318172334656, 1.0)"
"(1.0177156808540233, 0.0)","(1.0177156808540233, 1.0)"
"(1.034399544474581, 0.0)","(1.034399544474581, 1.0)"
"(1.0510834080951388, 0.0)","(1.0510834080951388, 1.0)"
"(1.0677672717156963, 0.0)","(1.0677672717156963, 1.0)"
"(1.0844511353362545, 0.0)","(1.0844511353362545, 1.0)"
"(1.101134998956812, 0.0)","(1.101134998956812, 1.0)"
"(1.1178188625773695, 0.0)","(1.1178188625773695, 1.0)"
"(1.1345027261979277, 0.0)","(1.1345027261979277, 1.0)"
"(1.1511865898184854, 0.0)","(1.1511865898184854, 1.0)"
"(1.1678704534390432, 0.0)","(1.1678704534390432, 1.0)"
"(1.184554317059601, 0.0)","(1.184554317059601, 1.0)"
"(1.2012381806801586, 0.0)","(1.2012381806801586, 1.0)"
"(1.2179220443007164, 0.0)","(1.2179220443007164, 1.0)"
"(1.234605907921274, 0.0)","(1.234605907921274, 1.0)"
"(1.251289771541832, 0.0)","(1.251289771541832, 1.0)"
"(1.2679736351623896, 0.0)","(1.2679736351623896, 1.0)"
"(1.284657498782947, 1.0)","(1.284657498782947, 1.0)"
"(1.301341362403505, 0.0)","(1.301341362403505, 1.0)"
"(1.3180252260240628, 0.0)","(1.3180252260240628, 1.0)"
"(1.3347090896446208, 0.0)","(1.3347090896446208, 1.0)"
"(1.3513929532651785, 0.0)","(1.3513929532651785, 1.0)"
"(1.3680768168857362, 0.0)","(1.3680768168857362, 1.0)"
