FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point,"Temp. Humidity Idx, NRC","Temp. Humidity Idx, Yousef"
2000-01-01 00:10:00,23.9,48.3,23.1,12.3,70.2,69.5
2000-01-01 00:20:00,24.0,50.2,23.4,13.0,70.5,69.9
2000-01-01 00:30:00,24.2,49.2,23.5,12.9,70.7,70.0
2000-01-01 00:40:00,24.0,49.6,23.2,12.8,70.4,69.8
2000-01-01 00:40:00,23.9,55.0,23.4,14.3,70.8,70.2
2000-01-01 00:50:00,23.9,52.6,23.4,13.7,70.6,70.1
2000-01-01 01:00:00,23.6,53.4,23.2,13.6,70.3,69.7
2000-01-01 01:10:00,23.7,54.3,23.2,13.9,70.4,69.9
2000-01-01 01:20:00,23.6,54.1,23.1,13.8,70.3,69.7
2000-01-01 01:30:00,23.5,53.9,23.1,13.6,70.2,69.6
2000-01-01 01:40:00,23.5,54.0,23.0,13.6,70.2,69.6
2000-01-01 01:50:00,23.4,53.9,23.0,13.6,70.1,69.5
2000-01-01 02:00:00,23.4,54.3,23.0,13.7,70.1,69.6
2000-01-01 02:10:00,23.5,54.3,23.0,13.7,70.2,69.6
2000-01-01 02:20:00,23.5,54.1,23.1,13.7,70.2,69.6
2000-01-01 02:30:00,23.5,54.0,23.1,13.7,70.2,69.7
2000-01-01 02:40:00,23.6,53.8,23.1,13.6,70.2,69.7
2000-01-01 02:50:00,23.6,53.5,23.1,13.6,70.2,69.6
2000-01-01 03:00:00,23.6,53.4,23.1,13.6,70.2,69.7
2000-01-01 03:10:00,23.6,53.4,23.1,13.6,70.2,69.7
2000-01-01 03:20:00,23.6,53.4,23.1,13.6,70.2,69.7
2000-01-01 03:30:00,23.6,53.5,23.1,13.6,70.2,69.7
2000-01-01 03:40:00,23.6,53.5,23.2,13.6,70.3,69.7
2000-01-01 03:50:00,23.6,53.6,23.2,13.7,70.3,69.8
2000-01-01 04:00:00,23.6,53.6,23.2,13.7,70.3,69.8
2000-01-01 04:10:00,23.7,53.6,23.2,13.7,70.4,69.8
2000-01-01 04:20:00,23.7,53.6,23.3,13.8,70.4,69.9
2000-01-01 04:30:00,23.8,53.6,23.3,13.8,70.5,69.9
2000-01-01 04:40:00,23.8,53.6,23.4,13.8,70.6,70.0
2000-01-01 04:50:00,23.9,53.7,23.4,13.9,70.6,70.1
2000-01-01 05:00:00,23.9,53.8,23.5,14.0,70.7,70.2
2000-01-01 05:10:00,24.0,53.6,23.5,14.0,70.8,70.2
2000-01-01 05:20:00,24.1,53.5,23.7,14.1,70.9,70.4
2000-01-01 05:30:00,24.2,53.4,23.7,14.1,71.0,70.4
2000-01-01 05:30:00,25.1,58.9,25.0,16.5,72.8,72.2
2021-05-21 17:40:00,25.6,40.5,24.5,11.2,71.5,70.9
2021-05-21 17:50:00,23.3,39.4,22.1,8.7,68.6,67.6
2021-05-21 18:00:00,22.6,43.0,21.8,9.4,68.1,67.2
2021-05-21 18:10:00,22.8,43.5,22.0,9.8,68.4,67.5
2021-05-21 18:20:00,23.0,44.3,22.2,10.2,68.8,67.9
2021-05-21 18:30:00,23.5,45.9,22.7,11.2,69.5,68.7
2021-05-21 18:40:00,24.1,46.4,23.2,11.9,70.3,69.6
2021-05-21 18:50:00,24.7,46.7,23.9,12.6,71.0,70.4
2021-05-21 19:00:00,25.2,46.8,24.5,13.1,71.7,71.1
2021-05-21 19:10:00,25.7,46.9,25.1,13.5,72.4,71.8
2021-05-21 19:20:00,26.1,46.9,25.6,13.9,72.9,72.3
2021-05-21 19:30:00,26.5,46.9,26.1,14.2,73.4,72.8
2021-05-21 19:40:00,26.8,46.8,26.5,14.5,73.8,73.2
2021-05-21 19:50:00,27.1,46.4,26.8,14.6,74.1,73.6
2021-05-21 20:00:00,27.2,45.8,26.7,14.5,74.1,73.6
2021-05-21 20:10:00,26.5,48.2,26.0,14.6,73.5,72.9
2021-05-21 20:20:00,23.8,54.6,23.4,14.1,70.6,70.1
2021-05-21 20:30:00,22.5,57.2,22.3,13.6,69.1,68.6
2021-05-21 20:40:00,21.8,61.0,21.7,13.9,68.3,68.0
2021-05-21 20:50:00,21.2,62.4,21.1,13.8,67.7,67.4
2021-05-21 21:00:00,20.8,61.6,20.6,13.2,67.0,66.8
2021-05-21 21:10:00,20.4,64.0,20.1,13.4,66.6,66.4
2021-05-21 21:20:00,20.1,64.0,19.7,13.1,66.2,66.0
2021-05-21 21:30:00,19.9,70.5,19.7,14.4,66.2,66.3
2021-05-21 21:40:00,20.2,72.2,20.2,15.0,66.8,66.8
2021-05-21 21:50:00,20.8,72.9,21.0,15.8,67.8,67.7
2021-05-21 22:00:00,21.4,75.4,21.9,16.9,68.9,68.7
2021-05-21 22:10:00,21.8,74.8,22.3,17.2,69.4,69.2
2021-05-21 22:20:00,22.5,72.5,23.0,17.4,70.4,70.0
2021-05-21 22:30:00,22.1,74.5,22.6,17.4,69.9,69.6
2021-05-21 22:40:00,21.8,75.1,22.4,17.2,69.4,69.2
2021-05-21 22:50:00,21.9,74.5,22.4,17.2,69.6,69.3
2021-05-21 23:00:00,21.2,57.5,21.0,12.5,67.3,66.9
2021-05-21 23:10:00,19.8,58.3,18.9,11.3,65.4,65.0
2021-05-21 23:20:00,19.0,58.6,17.9,10.8,64.4,64.1
2021-05-21 23:30:00,18.6,59.0,17.4,10.5,63.8,63.6
2021-05-21 23:40:00,18.5,62.1,17.3,11.1,63.8,63.7
2021-05-21 23:50:00,18.6,59.4,17.2,10.5,63.8,63.5
2021-05-22 00:00:00,18.6,57.9,17.1,10.1,63.7,63.4
2021-05-22 00:10:00,18.5,57.3,17.1,10.0,63.6,63.3
2021-05-22 00:20:00,18.6,57.1,17.3,10.0,63.8,63.4
2021-05-22 00:30:00,18.7,56.3,17.3,9.9,63.9,63.5
2021-05-22 00:40:00,18.8,55.5,17.5,9.7,64.0,63.5
2021-05-22 00:50:00,18.9,55.0,17.5,9.6,64.0,63.6
2021-05-22 01:00:00,18.9,54.5,17.6,9.6,64.1,63.6
2021-05-22 01:10:00,19.0,54.2,17.5,9.5,64.1,63.6
2021-05-22 01:20:00,19.0,53.9,17.5,9.4,64.1,63.6
2021-05-22 01:30:00,18.9,53.6,17.5,9.3,64.0,63.5
2021-05-22 01:40:00,18.9,53.3,17.5,9.2,64.0,63.4
2021-05-22 01:50:00,18.9,53.1,17.4,9.1,63.9,63.4
2021-05-22 02:00:00,18.8,52.9,17.4,9.0,63.8,63.2
2021-05-22 02:10:00,18.7,52.8,17.2,8.9,63.7,63.1
2021-05-22 02:20:00,18.6,52.6,17.1,8.8,63.6,63.0
2021-05-22 02:30:00,18.6,52.4,16.8,8.6,63.5,62.9
2021-05-22 02:40:00,18.5,52.3,16.7,8.5,63.4,62.8
2021-05-22 02:50:00,18.4,52.2,16.6,8.4,63.2,62.6
2021-05-22 03:00:00,18.3,52.1,16.5,8.3,63.1,62.4
2021-05-22 03:10:00,18.2,52.0,16.4,8.1,62.9,62.3
2021-05-22 03:20:00,18.0,51.9,16.3,8.0,62.8,62.1
2021-05-22 03:30:00,17.9,51.8,16.2,7.9,62.6,62.0
2021-05-22 03:40:00,17.8,51.7,16.0,7.7,62.4,61.8
2021-05-22 03:50:00,17.7,51.6,15.9,7.6,62.2,61.6
2021-05-22 04:00:00,17.5,51.6,15.8,7.5,62.1,61.4
2021-05-22 04:10:00,17.4,51.5,15.7,7.3,61.9,61.2
2021-05-22 04:20:00,17.3,51.4,15.6,7.2,61.7,61.1
2021-05-22 04:30:00,17.1,51.4,15.5,7.0,61.6,60.9
